gid,pin10,property_address,age,zoning,est_year_construction,blkgrp,pct_minority,median_age,pct_single_partent_families,pct_non_english_speakers,median_hh_income,gr_api,pct_college_edu,pct_unemployment,pct_hh_below_poverty,pct_hh_with_children,median_hh_value,smoc_api,pct_renter_du,pct_vacant_du,service_line_survey,estimated_land_value,estimated_building_value,estimated_property_value,estimated_property_to_land_value,service_line_survey_pb,resident_type,hyd_make,hyd_year_stamped,hyd_removed,hyd_dist_feet,hyd_id,g_label,prob_g_lsl,prob,why_lead,why_not_lead,sample_count_1
702958,2825305007,17113  WHITTIER AVE,16,R1,2003,1.70318E+11,93.28063241,86,100,0,38269,0,26.29969419,0,1.976284585,22.64150943,0,24.9,31.08108108,0,16120,104450,120570,6.479528536,2,two-story,two-story,East Jordan,2000,0,85.75573842,08-010H,0.095926344,Assumed Non-Lead,NotAssumed,After1991,0,-1
702370,2826123003,17002  LOCUST DR,7,R1,2012,1.70318E+11,90.9629045,143,35.51401869,0,53554,0,17.93849658,14.55357143,4.577742699,28.78504673,9,23.9,43.85964912,16.01178782,18000,117790,135790,6.543888889,4,split-level,split-level,Traverse City,1966,0,126.0660341,05-031H,0.065069859,Assumed Non-Lead,NotAssumed,After1991,0,-1
601579,2930125047,17076  ANTHONY AVE,18,R2,2001,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,16700,62530,79230,3.744311377,4,split-level,split-level,Traverse City,1928,0,147.3123023,03-116H,0.256032018,Assumed Non-Lead,NotAssumed,After1991,0,-1
595079,2930125046,17072  ANTHONY AVE,18,R2,2001,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,16700,61240,77940,3.667065868,4,split-level,split-level,Traverse City,1928,0,183.2960774,03-116H,0.262045724,Assumed Non-Lead,NotAssumed,After1991,0,-1
703067,2825406030,2600  WOODWORTH PL,13,R1,2006,1.70318E+11,54.59337349,204,39.15929204,0,52500,0,28.64923747,0,29.06626506,46.01769912,0,28.7,45.45454545,0,20710,148200,168910,7.155963303,2,two-story,two-story,Traverse City,1955,0,102.1380028,07-003H,0.049386868,Assumed Non-Lead,NotAssumed,After1991,0,-1
702587,2825403042,2661  171ST ST,24,R1,1995,1.70318E+11,54.59337349,204,39.15929204,0,52500,0,28.64923747,0,29.06626506,46.01769912,0,28.7,45.45454545,0,19500,81660,101160,4.187692308,4,split-level,split-level,Traverse City,1955,0,92.27943957,07-018H,0.164457415,Assumed Non-Lead,NotAssumed,After1991,0,-1
595233,2930124043,17070  ORCHARD RIDGE AVE,7,R2,2012,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,9000,77770,86770,8.641111111,2,two-story,two-story,East Jordan,2004,0,166.381715,03-134H,0.09119833,Assumed Non-Lead,NotAssumed,After1991,0,-1
703618,2825316001,17301  KEDZIE AVE,13,R1,2006,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,18300,98430,116730,5.378688525,1,one-story,one-story,Traverse City,1928,0,71.9243679,08-064H,0.161158398,Assumed Non-Lead,NotAssumed,After1991,0,-1
593878,2930100022,16785  WESTERN AVE,13,R2,2006,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,12270,34500,46770,2.811735941,1,one-story,one-story,East Jordan,2011,0,80.71371211,03-128H,0.168495161,Assumed Non-Lead,NotAssumed,After1991,0,-1
1277242,2930224048,17041  WINCHESTER AVE,9,R2,2010,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,25610,60930,86540,2.37914877,4,split-level,split-level,East Jordan,2007,0,75.01816337,02-050H,0.11383368,Assumed Non-Lead,NotAssumed,After1991,0,-1
