,pin10,est_year_construction,pct_minority,pct_single_partent_families,pct_non_english_speakers,median_hh_income,pct_hh_below_poverty,pct_hh_with_children,resident_type,hyd_year_stamped,g_label,prob_g_lsl,unnamed:_0,property_class,neighborhood_code,town_code,type_of_residence,building_square_feet,prior_tax_year_market_value_estimate_(land),prior_tax_year_market_value_estimate_(building),longitude,latitude,census_tract,property_address,age,neighborhood_code.1
68,2836100038,1997,100.0,50.71428571,0,83795,19.1137213,38.80952381,two-story,1974,0.017369638,Assumed Non-Lead,3864,278,270,13,2.0,2562.0,25200.0,145070.0,-87.6925565463248,41.5698782635231,825503.0,3102  HAWTHORNE LN,25,270
69,3102104041,2006,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1993,0.003030859,Assumed Non-Lead,7065,278,250,32,2.0,2254.0,57820.0,150670.0,-87.7130635574704,41.5538113975893,829902.0,18452  CRYSTAL CT,16,250
70,3102104022,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.002796227,Assumed Non-Lead,7046,278,250,32,2.0,3365.0,67240.0,175040.0,-87.7058212404827,41.5548630697029,829902.0,18411  RIVER RD,22,250
71,3102104029,2003,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.001721326,Assumed Non-Lead,7053,278,250,32,2.0,3391.0,66410.0,209860.0,-87.7080500842532,41.5548189917234,829902.0,3700  EDGEWATER DR,19,250
72,2836113009,1993,100.0,50.71428571,0,83795,19.1137213,38.80952381,one-story,1966,0.055959403,Assumed Non-Lead,4430,203,270,13,1.0,1747.0,26160.0,95470.0,-87.6939498042253,41.5665260871824,825503.0,17804  TANGLEWOOD CT,29,270
73,3102105014,2001,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1995,0.003814638,Assumed Non-Lead,7097,278,250,32,2.0,2574.0,72420.0,127690.0,-87.7103946540274,41.5506266372955,829902.0,3815  STREAMWOOD DR,21,250
74,3102104013,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,split-level,1993,0.007068849,Assumed Non-Lead,7038,234,250,32,4.0,1590.0,63690.0,116630.0,-87.7114336587523,41.5528313911732,829902.0,18505  MICHAEL CT,22,250
75,3102107007,2003,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1997,0.003028323,Assumed Non-Lead,7141,278,250,32,2.0,2393.0,69010.0,145680.0,-87.7059739143331,41.5520463922588,829902.0,3609  RIVER RD,19,250
76,3102108028,2003,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1997,0.004293124,Assumed Non-Lead,7180,278,250,32,2.0,2491.0,64360.0,119570.0,-87.7064610214052,41.5527866324043,829902.0,18505  INDIE CT,19,250
77,3102104028,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.003574361,Assumed Non-Lead,7052,278,250,32,2.0,3253.0,66410.0,147360.0,-87.7077532701168,41.554931102428,829902.0,3610  EDGEWATER DR,22,250
78,3102104031,2003,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1993,0.00356054,Assumed Non-Lead,7055,278,250,32,2.0,3428.0,58000.0,150830.0,-87.7085378408068,41.5545302129735,829902.0,3704  EDGEWATER DR,19,250
79,3102111002,2006,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1998,0.002905849,Assumed Non-Lead,7251,278,250,32,2.0,3279.0,66750.0,143620.0,-87.7091979332357,41.556614163887,829902.0,18302  CARRINGTON DR,16,250
80,3102110040,2006,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1998,0.00391489,Assumed Non-Lead,7215,278,250,32,2.0,2779.0,58470.0,123670.0,-87.7112016236042,41.5545232242078,829902.0,3816  CARRINGTON DR,16,250
81,3102206016,2003,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1996,0.005158614,Assumed Non-Lead,7854,278,250,32,2.0,2572.0,42340.0,133230.0,-87.7022581828145,41.5521817526157,829902.0,18606  AUGUSTA LN,19,250
82,3102107014,2002,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1997,0.001319764,Assumed Non-Lead,7148,208,250,32,2.0,4118.0,63920.0,240080.0,-87.7046982313744,41.5534221030478,829902.0,18509  RIVER RD,20,250
83,3102110029,2001,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,2001,0.00790962,Assumed Non-Lead,7205,295,250,32,2.0,2356.0,16400.0,160900.0,-87.7114917329639,41.5548790435429,829902.0,3915  CARRINGTON CT,21,250
